field_name,operator,status,discovery_wellbore,completion_date,situated_in,supply_base,field_id,wellbore_id
NJORD,Equinor Energy AS,Producing, 6407/7-1 S,1986-07-04,Norwegian Sea,Kristiansund,43751,474
NORDØST FRIGG,Equinor Energy AS,Shut down, 25/1-4,1974-05-30,North Sea,,43568,350
NORNE,Equinor Energy AS,Producing, 6608/10-2,1992-01-29,Norwegian Sea,Sandnessjøen,43778,1782
NOVA,Wintershall Dea Norge AS,Approved for production, 35/9-7,2012-04-14,North Sea,Florø,33197696,6776
ODA,Spirit Energy Norway AS,Producing, 8/10-4 S,2011-10-27,North Sea,,29412516,6630
ODIN,Equinor Energy AS,Shut down, 30/10-2,1974-03-28,North Sea,,43610,392
ORMEN LANGE,A/S Norske Shell,Producing, 6305/5-1,1997-07-10,Norwegian Sea,Kristiansund,2762452,3144
OSEBERG,Equinor Energy AS,Producing, 30/6-1,1979-09-22,North Sea,Mongstad,43625,380
OSEBERG SØR,Equinor Energy AS,Producing, 30/9-3,1984-02-26,North Sea,Mongstad,43645,55
OSEBERG ØST,Equinor Energy AS,Producing, 30/6-5,1981-08-15,North Sea,Mongstad,43639,118
OSELVAR,DNO Norge AS,Shut down, 1/3-6,1991-06-22,North Sea,,5506919,1521
REV,Repsol Norge AS,Producing, 15/12-12,2001-09-02,North Sea,,4467554,3391
RINGHORNE ØST,Vår Energi AS,Producing, 25/8-14 S,2003-09-22,North Sea,,3505505,4805
SIGYN,Equinor Energy AS,Producing, 16/7-4,1982-06-12,North Sea,Dusavik,1630100,91
SINDRE,Equinor Energy AS,Producing, 34/10-55 S,2017-03-26,North Sea,,29401178,8102
SKARV,Aker BP ASA,Producing, 6507/5-1,1998-03-05,Norwegian Sea,Sandnessjøen,4704482,3683
SKIRNE,Total E&P Norge AS,Producing, 25/5-3,1990-03-26,North Sea,,2138816,1488
SKOGUL,Aker BP ASA,Producing, 25/1-11 R,2010-04-26,North Sea,,31164600,6368
SKULD,Equinor Energy AS,Producing, 6608/10-12,2008-12-21,Norwegian Sea,Sandnessjøen,21350124,5949
SLEIPNER VEST,Equinor Energy AS,Producing, 15/6-3,1974-12-19,North Sea,Dusavik,43457,318
SLEIPNER ØST,Equinor Energy AS,Producing, 15/9-9,1981-07-14,North Sea,Dusavik,43478,328
