,Well,Depth
860,6507/7-13 A,404.0
861,6507/7-2,376.0
862,6507/7-3,371.0
863,6507/7-4,370.0
864,6507/7-5,356.0
865,6507/7-5 A,356.0
866,6507/7-6,375.0
867,6507/7-7,360.0
868,6507/7-8,357.0
869,6507/7-9,370.0
870,6507/7-10,418.0
871,6507/7-12,356.0
872,6507/7-13,404.0
873,6507/8-1,371.0
874,6507/8-2,375.0
875,6507/8-3,338.0
876,6507/8-4,377.0
877,6507/8-5,356.0
878,6507/8-6,379.0
879,6507/8-7,356.0
880,6507/10-1,322.0
881,6507/11-1,331.0
882,6507/11-2,276.0
883,6507/11-3,316.0
884,6507/11-4,314.0
885,6507/11-5 S,281.0
886,6507/11-6,316.0
887,6507/11-7,320.0
888,6507/11-8,325.0
889,6507/11-9,299.0
890,6507/12-1,250.0
891,6507/12-2,286.0
892,6507/12-3,266.0
893,6508/1-1 A,414.0
894,6508/1-1 S,414.0
895,6508/5-1,433.0
896,6510/2-1,348.0
897,6510/2-1 R,348.0
898,6605/8-1,862.0
899,6605/8-2,841.0
900,6607/2-1,883.0
901,6607/5-1,392.0
902,6607/5-2,549.0
903,6607/12-1,390.0
904,6608/8-1,357.0
905,6608/8-2,359.0
906,6608/10-1,399.0
907,6608/10-11 S,400.0
908,6608/10-2,397.0
909,6608/10-3,402.0
910,6608/10-3 R,402.0
911,6608/10-4,402.0
912,6608/10-5,363.0
913,6608/10-6,414.0
914,6608/10-6 R,414.0
915,6608/10-6 R2,409.0
916,6608/10-7,408.0
917,6608/10-8,400.0
918,6608/10-8 A,400.0
919,6608/10-9,400.0
920,6608/10-10,398.0
921,6608/11-1,406.0
922,6608/11-2,387.0
923,6608/11-3,398.0
924,6608/11-4,378.0
925,6608/11-5,365.0
926,6609/5-1,314.0
927,6609/6-1,353.0
928,6609/7-1,275.0
929,6609/10-1,288.0
930,6609/11-1,263.0
931,6610/2-1 S,431.0
932,6610/3-1,332.0
933,6610/3-1 R,332.0
934,6610/3-1 R2,334.0
935,6610/7-1,290.0
936,6610/7-2,257.0
937,6704/12-1,1377.0
938,6706/6-1,1334.0
939,6706/11-1,1264.0
940,6707/10-1,1299.0
941,6710/10-1,365.0
942,7019/1-1,214.0
943,7117/9-1,284.0
944,7117/9-2,294.0
945,7119/7-1,263.0
946,7119/9-1,226.0
947,7119/12-1,225.0
948,7119/12-2,205.0
949,7119/12-3,240.0
950,7119/12-4,215.0
951,7120/1-1,367.0
952,7120/1-1 R,367.0
953,7120/1-1 R2,367.0
954,7120/1-2,328.0
955,7120/2-1,410.0
956,7120/2-2,360.0
